pickup_date,total_trips,total_amount_sum,avg_trip_distance,avg_total_amount
2008-12-31,2,80.55,8.88,40.275
2022-10-24,4,337.27,0.0,84.3175
2022-10-25,7,423.22,1.5400000000000003,60.46
2022-12-31,25,658.23,3.312000000000001,26.3292
2023-01-01,76752,2347474.509999986,5.148714300604603,30.585190092766126
2023-01-02,65777,2033444.7900000357,4.543754959940411,30.914222144519144
2023-01-03,85783,2488095.3700000243,4.062767448095798,29.004527353904905
2023-01-04,95092,2645251.9999999967,3.535817524081904,27.817818533630554
2023-01-05,101063,2734582.8300000126,3.5390493058784953,27.058199637849782
2023-01-06,102550,2713405.8200000585,3.3343772793758815,26.459344904924997
2023-01-07,105036,2663632.3800000343,5.453406260710619,25.359232834457085
2023-01-08,85056,2405499.780000022,3.9429256019563854,28.281364983070237
2023-01-09,85349,2372112.1100000422,3.7490854022894355,27.79308615215225
2023-01-10,99916,2630358.620000053,3.1630155330477443,26.325699787822302
2023-01-11,106118,2768538.41,3.1048928551235155,26.089244143312165
2023-01-12,111386,3059892.099999986,4.24324807426428,27.47106548399248
2023-01-13,110719,3085230.9999999343,4.582410065119801,27.865416053251334
2023-01-14,112950,2924021.6500000283,3.31542877379373,25.88775254537431
2023-01-15,96844,2608082.320000021,5.507566808475464,26.930757919953955
2023-01-16,80120,2297121.35999999,3.9661862206689955,28.671010484273467
2023-01-17,101052,2815076.0500000454,3.548953014289659,27.857697522068296
2023-01-18,106152,2860057.870000063,3.488106771422116,26.94304271233762
2023-01-19,114603,3068876.8000000124,3.116718934059293,26.77832866504378
2023-01-20,109444,2927241.0500000166,3.4227811483498187,26.74647353897899
2023-01-21,111999,2767060.010000041,3.085203796462492,24.706113536728374
2023-01-22,89651,2451610.5400000177,4.197250560506905,27.346159440497235
2023-01-23,89791,2432855.0200000657,6.561232194763413,27.094642224722584
2023-01-24,103858,2726300.0300000496,3.1399232606058045,26.25026507346617
2023-01-25,109196,2806736.2800000664,3.0906894025422083,25.703654712627444
2023-01-26,114877,3100411.710000012,3.2638292260418083,26.98896828782099
2023-01-27,111668,2972187.5699999775,3.35937439552962,26.616287298061913
2023-01-28,111645,2764630.919999975,3.135048949796238,24.762693537551836
2023-01-29,88131,2417267.5999999717,3.719612735586778,27.42811950391998
2023-01-30,83768,2309069.6400000188,3.5249619186324233,27.565056346098974
2023-01-31,100372,2667253.000000037,4.808260869565216,26.573675925557296
2023-02-01,10,313.81,4.5729999999999995,31.381
