pickup_hour,total_trips,avg_trip_distance,avg_total_amount,median_total_amount
0,84969,4.020592804434578,28.44306770704572,21.36
1,59799,3.485865315473491,26.061920433452013,20.8
2,42040,3.196068981921983,24.657573025689985,20.52
3,27438,3.7441898097528963,25.73007179823605,20.6
4,17835,4.772163723016516,30.935113540790386,22.3
5,18011,15.304527233357417,36.063495086336246,22.0
6,43860,5.418199726402176,30.231226174191384,18.48
7,86877,5.247227344406474,26.679382920681434,18.48
8,116865,5.5175480254995675,25.03803200273709,18.9
9,131111,3.1171438704608887,25.289736406554873,19.2
10,143666,3.0880256288892367,25.292709061293188,18.9
11,154157,3.210792309139391,24.897021348363538,18.84
12,169858,3.1295295482108956,25.364562222559748,18.84
13,178739,3.2287366495280745,26.163804877500656,19.0
14,191604,3.55539028412771,27.719905168992128,19.32
15,196424,3.6729168533376386,27.145643607703818,19.32
16,195977,3.4656766355236086,29.228488904308268,21.3
17,209493,4.484603351901928,28.315582048085744,21.48
18,215889,3.958433176308179,26.432961521891656,21.0
19,192801,3.796988501097109,27.10859362762457,20.9
20,165862,3.455877597038516,26.659937538434665,20.1
21,161548,3.87706322579051,27.2526991358598,20.52
22,147415,3.8306406403690167,28.20178122986077,21.35
23,114528,4.22987260757197,29.56074182732585,21.89
