tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,payment_type,PULocationID,DOLocationID
2023-01-24T12:43:44.000,2023-01-24T15:41:02.000,1.0,177.88,1160.1,0.0,1169.4,2,132,265
2023-01-09T16:17:32.000,2023-01-09T16:20:41.000,1.0,0.0,999.0,0.0,1000.0,3,141,141
2023-01-30T13:17:33.000,2023-01-30T13:17:48.000,1.0,0.0,900.0,0.0,901.0,3,182,182
2023-01-30T13:23:56.000,2023-01-30T13:24:08.000,1.0,0.0,750.0,0.0,751.0,3,182,182
2023-01-30T16:17:35.000,2023-01-31T08:33:24.000,2.0,8.81,701.6,0.0,705.6,2,131,265
2023-01-04T20:11:27.000,2023-01-04T22:15:19.000,1.0,103.8,656.8,0.0,667.1,2,132,265
2023-01-08T08:15:40.000,2023-01-08T08:15:58.000,0.0,0.0,655.35,0.0,656.85,3,265,265
2023-01-22T23:24:55.000,2023-01-22T23:25:02.000,1.0,0.0,650.0,0.0,651.0,3,48,48
2023-01-10T00:55:47.000,2023-01-10T00:56:53.000,1.0,0.0,625.0,0.0,626.0,3,48,48
2023-01-29T14:46:13.000,2023-01-29T16:18:22.000,1.0,85.94,598.7,0.0,614.45,2,50,265
2023-01-19T00:20:12.000,2023-01-19T03:38:58.000,1.0,204.1,600.0,0.0,607.55,2,70,265
2023-01-17T10:04:34.000,2023-01-17T10:05:00.000,1.0,0.06,600.0,0.0,603.5,4,141,74
2023-01-26T10:28:15.000,2023-01-26T10:29:37.000,0.0,0.0,600.0,0.0,602.25,2,138,138
2023-01-12T02:25:26.000,2023-01-12T02:42:14.000,3.0,10.28,580.0,0.0,583.5,4,42,148
2023-01-06T16:53:01.000,2023-01-06T19:42:17.000,3.0,88.83,557.4,0.0,581.7,2,132,265
2023-01-07T04:29:56.000,2023-01-07T06:06:16.000,2.0,93.05,542.0,0.0,564.05,2,132,265
2023-01-23T23:01:23.000,2023-01-24T01:09:42.000,1.0,100.46,550.0,0.0,560.05,2,170,265
2023-01-24T02:08:50.000,2023-01-24T02:09:04.000,2.0,0.0,550.0,0.0,557.55,2,265,265
2023-01-06T08:13:47.000,2023-01-06T08:14:09.000,3.0,0.0,550.35,0.0,551.35,2,265,265
2023-01-06T06:18:19.000,2023-01-06T07:47:12.000,2.0,80.38,547.6,0.0,550.35,2,132,265
2023-01-09T17:42:42.000,2023-01-09T19:36:55.000,1.0,77.4,472.0,50.0,545.55,1,132,265
2023-01-31T17:06:13.000,2023-01-31T18:54:49.000,1.0,84.66,529.4,0.0,541.2,2,132,265
2023-01-21T14:44:42.000,2023-01-21T16:22:19.000,1.0,82.82,518.2,0.0,540.5,2,132,265
2023-01-31T21:14:09.000,2023-02-01T00:36:28.000,2.0,141.2,521.0,0.0,531.3,1,132,265
2023-01-07T14:01:46.000,2023-01-07T16:46:54.000,1.0,147.83,528.7,0.0,530.2,2,265,265
