pickup_hour,total_trips,avg_trip_distance,avg_total_amount,median_total_amount
0,1540194,7.252164318261234,26.612941129493898,21.42
1,1015732,5.817798651612839,24.645282604072296,20.58
2,668371,6.344334359210686,23.203524778902437,20.06
3,457073,7.342034839073837,23.646315643233958,20.01
4,360923,14.520032444593452,28.354623423832532,22.2
5,385453,27.868997646924495,31.261545350535187,22.25
6,758797,20.068291321657828,27.820666845018266,20.0
7,1383178,14.804474030095896,26.12739814398406,19.65
8,1869222,11.182293569196167,25.469795369410285,20.2
9,1998754,6.725898484756008,25.48661212435339,20.22
10,2083263,6.29398762902236,25.92101240697881,20.22
11,2234450,5.389214916422384,26.26750368994601,20.84
12,2435176,5.204840459170122,26.98339340154475,20.91
13,2553786,5.690097576695946,27.157664393179903,21.0
14,2740931,6.449727260554929,28.303020371546346,21.06
15,2854120,5.877962906254857,28.13189072989334,21.06
16,2934914,5.232675352668071,29.759089397509946,22.81
17,3291155,5.927302776684926,28.22212082992211,22.74
18,3473210,6.267211665865384,26.66055796511054,22.15
19,3071607,5.304167802066032,26.49392170938603,21.65
20,2826127,6.151672529224618,26.06793582524841,21.25
21,2901042,5.789606458644843,26.197977071687376,21.42
22,2730170,5.927630447920848,26.61372468747419,21.67
23,2154954,5.842670182286962,27.140104735414166,21.68
